time [yyyy_doy],time [yyyy-mm-dd],global [Gt],uncertainty_global [Gt],301 [Gt],uncertainty_301 [Gt],302 [Gt],uncertainty_302 [Gt],303 [Gt],uncertainty_303 [Gt],304 [Gt],uncertainty_304 [Gt],305 [Gt],uncertainty_305 [Gt],306 [Gt],uncertainty_306 [Gt],307 [Gt],uncertainty_307 [Gt],308 [Gt],uncertainty_308 [Gt],309 [Gt],uncertainty_309 [Gt],310 [Gt],uncertainty_310 [Gt],311 [Gt],uncertainty_311 [Gt],312 [Gt],uncertainty_312 [Gt],313 [Gt],uncertainty_313 [Gt],314 [Gt],uncertainty_314 [Gt],315 [Gt],uncertainty_315 [Gt],316 [Gt],uncertainty_316 [Gt],317 [Gt],uncertainty_317 [Gt],318 [Gt],uncertainty_318 [Gt],319 [Gt],uncertainty_319 [Gt],320 [Gt],uncertainty_320 [Gt],321 [Gt],uncertainty_321 [Gt],322 [Gt],uncertainty_322 [Gt],323 [Gt],uncertainty_323 [Gt],324 [Gt],uncertainty_324 [Gt],325 [Gt],uncertainty_325 [Gt]
2011_304,2011-10-31,73.0256,32.3904,39.3409,6.5454,11.9764,3.2383,28.4567,6.5422,42.313,4.4247,13.3248,5.6996,24.1925,6.4693,72.791,6.6229,29.9736,7.3603,31.5195,5.2474,-0.3827,8.1593,100.4711,7.4828,-10.7594,8.4352,-32.7398,7.2591,-1.7261,4.7604,13.2833,4.0146,3.5399,5.1908,2.2667,3.6902,-10.7275,3.4234,13.4907,4.4559,-68.5348,7.2576,-94.6737,7.8083,-52.5421,8.652,-29.7443,8.5739,-7.0933,6.7182,-44.9909,8.3092
2011_361,2011-12-27,-229.9397,35.1579,18.2022,7.1047,-2.5657,3.515,18.4253,7.1012,16.1479,4.8027,13.1508,6.1866,27.4554,7.022,55.6806,7.1888,16.9759,7.9892,13.8893,5.6958,-0.2732,8.8564,45.1007,8.1221,-36.7205,9.156,-48.8263,7.8793,-14.4406,5.1671,6.0081,4.3576,-0.7534,5.6344,-23.3787,4.0055,3.1757,3.7159,3.2716,4.8366,-93.3165,7.8777,-85.682,8.4754,-53.8858,9.3912,-40.1667,9.3065,-31.784,7.2922,-35.63,9.0191
2012_016,2012-01-16,-202.0773,30.7255,34.8356,6.209,3.8349,3.0719,40.9698,6.206,11.9469,4.1972,6.3929,5.4067,24.0203,6.1368,61.081,6.2825,18.043,6.982,31.8278,4.9777,-0.6954,7.7399,52.9229,7.0982,-31.2471,8.0017,-44.4256,6.886,-31.9777,4.5157,-0.1794,3.8083,-5.2758,4.924,-18.7224,3.5005,-0.5752,3.2475,16.2869,4.2269,-93.6292,6.8846,-90.4034,7.4069,-57.1826,8.2073,-43.0384,8.1332,-31.317,6.3729,-55.5699,7.8821
2012_046,2012-02-15,-256.0882,34.0534,45.08,6.8815,-0.6823,3.4046,38.7895,6.8781,12.2785,4.6518,9.077,5.9922,32.5853,6.8014,56.1349,6.9629,19.3761,7.7382,25.2593,5.5168,12.3993,8.5782,42.4244,7.867,-33.2966,8.8683,-58.4182,7.6318,-41.4463,5.0048,-1.8489,4.2207,-14.0059,5.4574,-14.8278,3.8797,-7.0045,3.5992,16.5465,4.6847,-92.9899,7.6303,-86.0285,8.2092,-90.5162,9.0962,-46.1739,9.0141,-19.2497,7.0631,-59.5504,8.7358
2012_076,2012-03-16,-181.5169,34.9706,22.3156,7.0668,4.7139,3.4963,31.4594,7.0634,25.7914,4.7771,13.3984,6.1536,35.7087,6.9846,72.6861,7.1505,25.5212,7.9467,30.4352,5.6654,7.3724,8.8093,51.2872,8.0789,-17.1223,9.1072,-43.4611,7.8373,-17.04,5.1396,-13.7328,4.3344,2.1064,5.6043,-5.7399,3.9842,5.503,3.6962,16.3137,4.8109,-87.879,7.8358,-118.0196,8.4303,-72.6836,9.3412,-59.7859,9.2569,-29.1797,7.2534,-61.4855,8.9711
2012_094,2012-04-03,-232.2137,40.2594,17.0971,8.1356,-2.7595,4.0251,23.0349,8.1316,24.1805,5.4996,8.6134,7.0843,35.1606,8.041,58.6486,8.2319,26.1255,9.1485,20.9347,6.5223,9.9439,10.1416,62.723,9.3007,-30.275,10.4845,-32.3472,9.0226,-17.4216,5.9169,-7.3586,4.9899,-3.1476,6.4519,1.7519,4.5867,1.7473,4.2551,20.6634,5.5385,-90.3276,9.0208,-136.0379,9.7052,-71.8736,10.7539,-56.7188,10.6569,-32.7899,8.3503,-61.7815,10.3279
2012_168,2012-06-16,-147.7276,45.1105,46.0552,9.1159,-21.3532,4.5101,49.5693,9.1114,31.1643,6.1623,19.963,7.9379,25.993,9.0099,52.5774,9.2238,32.132,10.2508,25.9881,7.3082,-20.1617,11.3636,70.8464,10.4214,-24.1788,11.7479,-44.1581,10.1098,-22.697,6.6299,9.6112,5.5912,-13.2302,7.2294,-11.0191,5.1394,17.219,4.7679,25.6249,6.2058,-77.7364,10.1078,-118.0223,10.8747,-70.7772,12.0497,-47.8095,11.941,-18.3192,9.3565,-65.0085,11.5723
2012_198,2012-07-16,-127.3996,38.4106,46.9096,7.762,-16.3752,3.8402,45.0355,7.7582,24.52,5.2471,21.9827,6.759,26.6608,7.6717,55.7575,7.8539,36.4278,8.7284,37.7205,6.2227,-10.6616,9.6758,77.7439,8.8736,-11.9252,10.0031,-24.6461,8.6083,-26.7035,5.6452,-2.2608,4.7608,-12.398,6.1556,-7.8815,4.3761,10.4538,4.0597,34.907,5.2841,-96.8604,8.6066,-119.6915,9.2595,-76.5266,10.2601,-33.8068,10.1675,-21.8324,7.9669,-83.949,9.8536
2012_229,2012-08-16,-69.2052,32.9084,54.2087,6.6501,-9.1201,3.2901,42.3154,6.6469,32.1958,4.4954,29.4257,5.7908,41.2096,6.5728,65.7393,6.7288,36.6637,7.4781,45.8412,5.3314,-8.5393,8.2898,70.8582,7.6025,14.7022,8.5702,-14.8597,7.3752,-23.7167,4.8365,2.1985,4.0788,-15.086,5.2739,4.2381,3.7492,5.9439,3.4782,21.715,4.5272,-105.5408,7.3737,-117.7032,7.9331,-101.1534,8.7903,-47.0965,8.7111,-15.036,6.8256,-78.6086,8.4421
2012_257,2012-09-13,18.9067,31.1458,41.0749,6.2939,-10.073,3.1139,29.6603,6.2909,39.9055,4.2547,45.3704,5.4806,56.6257,6.2207,71.0737,6.3684,36.0675,7.0775,34.3452,5.0458,7.7949,7.8458,86.5195,7.1953,7.6159,8.1111,15.918,6.9801,-5.492,4.5775,8.3385,3.8603,-0.9074,4.9914,17.1806,3.5484,10.8983,3.2919,26.7818,4.2847,-100.431,6.9788,-156.0282,7.5082,-92.4002,8.3195,-55.6695,8.2445,-32.4439,6.4601,-62.8188,7.9899
2012_323,2012-11-18,-104.6118,29.8358,49.1081,6.0292,-20.8105,2.9829,31.8168,6.0263,36.0393,4.0757,50.4999,5.2501,57.1234,5.9591,58.5566,6.1006,38.2953,6.7798,19.605,4.8336,-3.9405,7.5158,64.0716,6.8926,-21.8711,7.77,7.7486,6.6866,-8.2967,4.385,9.5947,3.698,-1.1161,4.7815,-0.9158,3.3992,11.8343,3.1534,34.3029,4.1045,-110.8892,6.6852,-167.5869,7.1924,-107.4692,7.9696,-41.0013,7.8977,-35.8897,6.1883,-53.4213,7.6539
2012_351,2012-12-16,-143.0536,29.859,56.6968,6.0339,-18.2545,2.9853,50.8255,6.0309,22.1766,4.0789,54.2205,5.2542,56.5074,5.9637,52.8396,6.1053,49.5634,6.7851,37.8386,4.8373,-16.0971,7.5216,66.0506,6.898,-17.8332,7.776,-14.1155,6.6917,-20.5531,4.3884,6.7936,3.7008,-0.4602,4.7852,-1.2484,3.4018,20.2633,3.1559,37.2128,4.1077,-113.5913,6.6904,-157.7359,7.198,-122.0279,7.9758,-44.996,7.9038,-58.7303,6.1931,-68.3989,7.6598
2013_016,2013-01-16,-395.014,29.6721,35.1182,5.9961,-26.1109,2.9666,28.1717,5.9932,24.0547,4.0534,43.9907,5.2213,44.7318,5.9264,55.214,6.0671,48.9273,6.7427,24.4413,4.8071,-8.7636,7.4746,53.5273,6.8548,-26.0021,7.7274,-26.4561,6.6499,-26.6428,4.3609,-5.1344,3.6777,-13.8918,4.7552,-6.147,3.3805,22.4453,3.1361,23.4119,4.082,-114.969,6.6486,-184.2073,7.153,-110.3248,7.9259,-75.3377,7.8544,-83.2589,6.1544,-91.8019,7.6119
2013_044,2013-02-13,-598.0323,30.4793,2.6359,6.1592,-26.2773,3.0473,15.2165,6.1562,15.9695,4.1636,50.7545,5.3633,42.2111,6.0876,37.1697,6.2322,47.4647,6.9261,24.0182,4.9378,-2.0892,7.6779,36.8021,7.0413,-56.8121,7.9376,-14.7691,6.8308,-28.8267,4.4795,-9.1252,3.7777,-12.0263,4.8846,-6.6493,3.4725,30.6601,3.2215,25.6829,4.193,-133.8187,6.8294,-211.761,7.3476,-86.5564,8.1415,-122.6137,8.0681,-101.2786,6.3218,-114.0138,7.8189
2013_111,2013-04-21,-337.2857,29.016,34.0926,5.8635,-33.9521,2.901,41.2924,5.8607,28.9364,3.9637,32.5918,5.1058,48.2104,5.7953,61.0904,5.9329,40.5538,6.5935,20.0204,4.7008,5.0725,7.3093,25.3103,6.7032,-62.4288,7.5565,-3.0367,6.5028,-7.8213,4.2645,11.0028,3.5964,14.6605,4.6501,2.1147,3.3058,29.7392,3.0668,43.0769,3.9917,-140.6764,6.5015,-185.2304,6.9948,-104.0028,7.7506,-86.8516,7.6807,-68.0657,6.0183,-82.9853,7.4435
2013_136,2013-05-16,-285.032,26.3432,32.2446,5.3234,-31.6156,2.6338,40.4615,5.3208,30.1324,3.5986,42.8928,4.6355,41.7361,5.2615,53.2139,5.3864,47.3627,5.9862,18.3623,4.2677,4.5844,6.636,28.2751,6.0858,-43.3123,6.8604,-3.7314,5.9038,-16.4149,3.8717,9.5915,3.2651,1.7936,4.2217,8.9735,3.0013,26.2526,2.7843,49.2989,3.624,-127.4084,5.9027,-187.0557,6.3505,-117.752,7.0367,-74.9966,6.9732,-48.832,5.4639,-69.0891,6.7579
2013_167,2013-06-16,-192.1492,28.9698,57.9865,5.8542,-26.5762,2.8964,66.6512,5.8514,45.6561,3.9574,63.494,5.0977,42.6071,5.7861,58.9318,5.9235,59.5695,6.5831,20.9143,4.6933,14.5475,7.2977,42.6215,6.6926,-30.267,7.5445,-6.1781,6.4925,-17.5338,4.2577,8.4219,3.5906,-8.054,4.6427,8.9885,3.3005,14.196,3.0619,38.4889,3.9854,-139.1394,6.4912,-184.9337,6.9837,-154.5918,7.7383,-69.009,7.6685,-32.0943,6.0087,-66.8466,7.4317
2013_197,2013-07-16,-162.9412,27.7465,61.0421,5.607,-18.3605,2.7741,66.7805,5.6043,47.9107,3.7903,77.5174,4.8824,45.4188,5.5418,70.8807,5.6734,67.2072,6.3051,32.1529,4.4951,9.6782,6.9895,61.0463,6.41,-33.6452,7.2259,-6.1187,6.2183,-4.2749,4.0779,6.266,3.439,12.9532,4.4466,15.7153,3.1611,21.0961,2.9326,33.5298,3.8171,-152.0757,6.2171,-214.831,6.6888,-154.6671,7.4115,-83.2782,7.3447,-57.1323,5.755,-67.7527,7.1179
2013_289,2013-10-16,-301.2848,28.239,48.6971,5.7065,-20.7235,2.8233,47.2016,5.7037,44.5369,3.8576,57.7323,4.9691,47.0038,5.6401,61.447,5.7741,49.4324,6.417,15.595,4.5749,22.7924,7.1135,54.869,6.5237,-33.8164,7.3541,1.7603,6.3287,-12.5742,4.1503,15.3604,3.5001,12.9916,4.5255,2.0847,3.2172,30.4028,2.9847,38.8765,3.8848,-175.9273,6.3274,-229.1998,6.8075,-136.1617,7.5431,-84.3763,7.475,-82.784,5.8571,-76.5058,7.2442
2013_320,2013-11-16,-447.003,27.7712,59.4163,5.612,-14.1991,2.7765,58.4412,5.6093,40.5207,3.7937,73.8372,4.8868,44.6194,5.5467,78.3614,5.6784,42.7782,6.3107,24.306,4.4991,28.3353,6.9957,53.355,6.4157,-76.0122,7.2323,-17.0464,6.2239,-36.995,4.0815,8.5531,3.4421,-0.67,4.4506,-1.4822,3.164,20.0372,2.9352,40.4773,3.8205,-195.9726,6.2226,-238.4451,6.6947,-140.8948,7.4181,-114.8562,7.3512,-79.918,5.7601,-103.55,7.1242
2013_350,2013-12-16,-480.0951,29.4338,64.6326,5.9479,-16.5385,2.9428,44.0834,5.9451,43.8339,4.0208,80.4675,5.1794,62.1232,5.8788,60.9657,6.0184,59.3222,6.6885,23.2276,4.7685,20.5845,7.4145,57.4298,6.7998,-69.5724,7.6653,-3.7547,6.5965,-19.7203,4.3259,-7.6552,3.6482,7.3209,4.717,8.8509,3.3534,14.5008,3.111,36.8028,4.0492,-198.6952,6.5952,-257.9684,7.0955,-166.1417,7.8622,-106.452,7.7913,-110.3471,6.105,-107.3956,7.5507
2014_009,2014-01-09,-750.7851,32.6322,41.6821,6.5943,-31.0794,3.2625,13.5726,6.5911,40.5369,4.4577,81.4896,5.7422,64.2419,6.5176,54.3494,6.6724,53.819,7.4153,9.3958,5.2866,21.2445,8.2202,42.0591,7.5387,-91.469,8.4982,7.9303,7.3133,-41.2421,4.796,-0.9763,4.0446,-14.9566,5.2296,-3.6005,3.7178,14.1535,3.449,33.5039,4.4892,-198.5825,7.3118,-294.1803,7.8666,-147.2255,8.7166,-149.2177,8.6379,-132.5598,6.7684,-123.6739,8.3712
2014_075,2014-03-16,-851.1503,25.8756,41.3823,5.2289,-47.2726,2.587,41.3118,5.2264,38.3446,3.5347,49.3899,4.5532,56.729,5.1681,45.7744,5.2908,43.3912,5.8799,17.1907,4.192,0.6306,6.5182,25.5019,5.9778,-73.6657,6.7386,-26.302,5.799,-30.7832,3.8029,5.8471,3.2071,-23.2084,4.1468,-11.8827,2.948,12.3831,2.7349,52.8318,3.5597,-220.4013,5.7979,-300.7587,6.2378,-163.7091,6.9118,-150.5599,6.8494,-124.068,5.3669,-109.247,6.6379
2014_106,2014-04-16,-714.1642,26.588,68.2781,5.3729,-40.3868,2.6582,61.6342,5.3703,29.42,3.632,48.1534,4.6786,63.3677,5.3104,47.1113,5.4365,49.0773,6.0418,23.4302,4.3074,10.8702,6.6977,12.7913,6.1423,-57.5903,6.9242,-14.3987,5.9587,-39.5729,3.9076,-0.869,3.2954,-14.39,4.261,-7.8017,3.0292,15.8965,2.8102,63.3902,3.6577,-223.1512,5.9575,-280.9726,6.4095,-174.6091,7.1021,-138.4146,7.038,-97.5048,5.5147,-117.9226,6.8207
2014_136,2014-05-16,-527.4672,25.0715,90.1878,5.0664,-27.1883,2.5066,71.5713,5.064,37.0723,3.4249,50.7555,4.4117,66.9465,5.0075,55.3606,5.1264,65.815,5.6972,30.5009,4.0617,12.4065,6.3156,33.1113,5.792,-59.0364,6.5292,8.317,5.6188,-32.0279,3.6848,8.6417,3.1075,-13.4219,4.0179,7.7698,2.8564,5.0305,2.6499,66.1096,3.4491,-228.8924,5.6177,-282.9229,6.0439,-190.9207,6.697,-114.734,6.6366,-77.186,5.2002,-110.733,6.4317
2014_164,2014-06-13,-640.1778,26.2019,69.7104,5.2948,-33.1447,2.6196,51.1841,5.2923,33.4059,3.5793,61.2611,4.6107,74.6763,5.2333,50.626,5.3575,70.9309,5.9541,34.5281,4.2449,4.3197,6.6004,26.2648,6.0532,-73.9906,6.8236,1.5791,5.8722,-28.8413,3.8509,3.9553,3.2476,-7.1727,4.1991,1.2995,2.9852,20.9332,2.7694,49.2296,3.6046,-222.7699,5.871,-304.0971,6.3164,-167.3864,6.9989,-141.5548,6.9358,-91.848,5.4346,-123.2763,6.7217
2014_228,2014-08-16,-619.3248,26.947,70.2486,5.4454,-33.889,2.6941,47.9728,5.4428,32.3875,3.6811,75.7127,4.7418,56.6839,5.3821,57.2884,5.5099,53.5412,6.1234,13.9522,4.3656,9.7089,6.7881,28.6897,6.2253,-92.1177,7.0177,21.6713,6.0391,-31.4983,3.9604,7.6043,3.3399,1.1252,4.3185,3.8331,3.0701,21.5306,2.8481,73.6531,3.7071,-227.6222,6.0379,-312.8759,6.496,-175.7019,7.198,-123.3213,7.133,-107.5726,5.5892,-90.3293,6.9128
2014_258,2014-09-15,-341.4725,27.524,100.7691,5.562,-28.0343,2.7518,75.2761,5.5593,30.5548,3.7599,79.5906,4.8433,56.7693,5.4973,67.8599,5.6279,58.2705,6.2545,25.4155,4.459,20.4668,6.9334,35.1483,6.3586,-84.2204,7.1679,34.4679,6.1685,-35.5671,4.0452,22.1574,3.4114,13.3095,4.411,17.3827,3.1358,19.1013,2.9091,81.3247,3.7865,-214.1911,6.1672,-264.5876,6.6351,-218.2557,7.3521,-91.4926,7.2858,-65.3952,5.7088,-77.5929,7.0608
2014_289,2014-10-16,-442.2926,28.4502,105.6227,5.7492,-27.233,2.8444,73.5083,5.7464,36.0555,3.8864,69.6427,5.0063,61.9502,5.6823,66.7831,5.8173,53.9954,6.465,27.9001,4.6091,14.3832,7.1668,31.7826,6.5725,-96.3775,7.4091,5.0766,6.376,-32.1599,4.1813,12.9812,3.5262,14.8622,4.5594,16.3558,3.2413,25.438,3.007,75.7707,3.9139,-214.821,6.3748,-280.3452,6.8584,-213.9151,7.5995,-111.4679,7.5309,-66.869,5.901,-91.2122,7.2984
2014_320,2014-11-16,-608.3336,30.2133,106.292,6.1055,-31.2702,3.0207,49.9188,6.1025,41.0765,4.1273,74.9731,5.3165,69.8282,6.0345,60.2826,6.1778,50.9174,6.8656,18.3938,4.8947,7.6335,7.6109,30.4479,6.9799,-135.0054,7.8683,11.0397,6.7712,-30.546,4.4405,13.6469,3.7448,13.3728,4.842,11.9399,3.4422,19.2149,3.1933,73.7305,4.1564,-231.4025,6.7698,-307.2772,7.2835,-214.5947,8.0705,-124.6003,7.9977,-84.5753,6.2667,-101.7701,7.7507
2015_022,2015-01-22,-933.4656,52.9784,89.1807,10.7058,-34.2077,5.2967,39.0472,10.7006,21.7593,7.2371,77.4564,9.3224,59.5127,10.5813,41.3481,10.8326,52.8799,12.0387,30.3375,8.5828,6.6002,13.3455,6.1693,12.239,-175.2473,13.7969,-4.9887,11.8731,-43.4828,7.7862,16.0773,6.5664,8.4831,8.4903,8.1405,6.0358,18.75,5.5995,74.0753,7.2882,-263.9573,11.8707,-322.3962,12.7714,-209.1395,14.1514,-157.0507,14.0237,-127.4663,10.9884,-145.3467,13.5907
2015_046,2015-02-15,-1096.6068,85.2933,81.296,17.2359,-40.2742,8.5275,36.1841,17.2276,17.388,11.6515,35.3204,15.0087,54.8331,17.0355,42.8068,17.44,39.0128,19.3819,17.426,13.818,-18.4898,21.4858,-21.8512,19.7044,-153.1023,22.2125,-30.1343,19.1152,-44.4372,12.5355,10.5272,10.5716,0.0286,13.669,-1.3698,9.7174,21.6977,9.0149,75.2128,11.7337,-255.1245,19.1115,-331.7413,20.5614,-204.6134,22.7831,-147.5738,22.5777,-133.5114,17.691,-146.1172,21.8805
2015_075,2015-03-16,-1001.2544,30.2907,81.5763,6.1211,-40.4143,3.0284,47.4463,6.1181,13.4968,4.1378,64.3724,5.3301,50.0746,6.0499,53.6065,6.1936,50.8958,6.8832,23.5569,4.9073,12.4888,7.6304,-21.3832,6.9977,-138.9661,7.8884,-11.2604,6.7885,-55.4921,4.4518,-1.6508,3.7544,-5.3907,4.8544,-1.7258,3.451,23.3173,3.2015,72.0818,4.1671,-263.4109,6.7872,-325.4412,7.3021,-213.4431,8.0911,-162.0159,8.0181,-119.7433,6.2827,-133.8302,7.7706
2015_106,2015-04-16,-982.7401,27.6158,72.3998,5.5806,-32.0649,2.761,51.8425,5.5779,20.2018,3.7724,73.2523,4.8595,55.2948,5.5157,62.1407,5.6466,57.2548,6.2754,26.4558,4.4739,9.8771,6.9566,-19.1858,6.3798,-135.7922,7.1918,-3.3532,6.189,-50.6765,4.0587,-4.03,3.4228,-13.1238,4.4257,-5.9922,3.1463,25.9374,2.9188,65.5724,3.7991,-280.4935,6.1878,-334.6761,6.6573,-218.1552,7.3766,-175.0506,7.3101,-100.0244,5.7279,-130.3509,7.0844
2015_116,2015-04-26,-899.1204,34.6057,75.0617,6.9931,-29.7981,3.4598,55.2672,6.9897,27.3401,4.7273,75.4261,6.0894,62.7198,6.9118,66.0657,7.0759,66.7226,7.8638,23.0285,5.6063,1.1257,8.7174,-5.0471,7.9946,-125.0728,9.0122,22.4109,7.7556,-49.7896,5.086,-10.9657,4.2892,0.1555,5.5459,-3.7064,3.9426,32.3147,3.6576,60.1255,4.7607,-279.9364,7.754,-334.3781,8.3423,-217.3018,9.2437,-179.4397,9.1604,-97.7147,7.1777,-133.7342,8.8775
2015_196,2015-07-15,-726.0918,31.7796,92.9659,6.422,-77.467,3.1773,62.328,6.4189,44.2436,4.3412,81.6975,5.5921,80.0851,6.3473,63.1075,6.498,67.2587,7.2215,25.5583,5.1485,31.5328,8.0054,17.6927,7.3417,-100.7198,8.2762,22.8038,7.1222,-31.2986,4.6706,16.2577,3.9389,-20.1372,5.093,-15.9272,3.6206,35.3918,3.3589,70.2096,4.3719,-265.099,7.1208,-320.3332,7.661,-270.1135,8.4888,-130.7248,8.4122,-95.3764,6.5915,-110.028,8.1525
2015_228,2015-08-16,-839.1971,27.4818,93.8929,5.5535,-32.2569,2.7476,68.3254,5.5508,19.9178,3.7541,61.9881,4.8359,47.2566,5.4889,79.1185,5.6192,58.6255,6.2449,21.9549,4.4522,16.3424,6.9228,1.9641,6.3488,-97.1151,7.1569,11.7518,6.159,-45.0662,4.039,-1.6707,3.4062,-2.9659,4.4042,-9.7239,3.131,35.7946,2.9046,85.9231,3.7807,-278.3743,6.1578,-357.373,6.625,-237.9718,7.3408,-162.5175,7.2746,-91.8728,5.7001,-125.1447,7.05
2015_257,2015-09-14,-777.7889,27.781,75.3098,5.6139,-23.1276,2.7775,67.8049,5.6112,19.3558,3.795,73.3921,4.8885,57.6664,5.5487,73.3997,5.6804,66.1259,6.3129,43.1441,4.5007,21.4081,6.9982,27.8847,6.4179,-75.7293,7.2348,22.1919,6.226,-40.8614,4.083,-1.8589,3.4433,3.1871,4.4521,-1.3937,3.1651,42.2249,2.9363,91.6861,3.8218,-282.9349,6.2248,-388.8134,6.6971,-227.1646,7.4207,-180.58,7.3538,-104.6152,5.7621,-135.4913,7.1267
2015_356,2015-12-22,-887.6427,28.313,115.017,5.7214,-22.0588,2.8307,46.135,5.7187,21.1031,3.8677,89.5523,4.9821,49.0744,5.6549,66.8678,5.7892,54.2741,6.4338,26.4856,4.5869,19.1744,7.1322,13.5345,6.5408,-132.2133,7.3734,0.6495,6.3453,-28.8382,4.1612,11.1688,3.5092,10.0185,4.5374,-4.0867,3.2257,34.8064,2.9925,100.3646,3.895,-298.6176,6.344,-390.7988,6.8253,-270.8116,7.5628,-161.0507,7.4946,-113.3626,5.8725,-124.0306,7.2632
2016_016,2016-01-16,-878.1371,28.4631,136.6223,5.7518,-29.1779,2.8457,64.9159,5.749,20.5996,3.8882,79.582,5.0086,56.4009,5.6849,55.0485,5.8199,74.2836,6.4679,33.8746,4.6112,7.5024,7.17,12.625,6.5755,-136.685,7.4125,-16.1742,6.3789,-30.653,4.1832,10.7403,3.5278,-1.3829,4.5615,0.9499,3.2428,34.8038,3.0084,111.6217,3.9156,-296.0357,6.3777,-394.6853,6.8615,-287.1278,7.6029,-155.2074,7.5344,-104.9415,5.9036,-125.6371,7.3017
2016_044,2016-02-13,-887.7998,28.1907,116.0131,5.6967,-24.8405,2.8185,51.8624,5.694,16.317,3.851,92.2615,4.9606,53.0022,5.6305,79.7825,5.7642,70.1199,6.406,31.0025,4.5671,8.2123,7.1014,9.5441,6.5126,-142.6484,7.3416,-6.3872,6.3179,-30.5046,4.1432,2.1421,3.4941,7.8669,4.5178,-4.9342,3.2118,47.9642,2.9796,99.0452,3.8782,-296.4861,6.3166,-403.807,6.7959,-266.5186,7.5302,-160.9586,7.4623,-108.5215,5.8471,-127.3288,7.2318
2016_076,2016-03-16,-1007.1409,26.0617,88.188,5.2665,-25.6338,2.6056,37.6578,5.264,28.2848,3.5602,95.1281,4.586,66.7979,5.2053,66.1196,5.3289,77.4128,5.9222,34.3947,4.2222,13.8758,6.5651,-8.4248,6.0208,-154.9437,6.7871,-1.0662,5.8407,-27.7598,3.8303,-0.4072,3.2302,-12.15,4.1766,-11.0463,2.9692,50.693,2.7545,87.2723,3.5853,-309.7104,5.8396,-423.0904,6.2826,-256.8384,6.9615,-193.1779,6.8987,-100.8456,5.4056,-127.8712,6.6857
2016_140,2016-05-19,-1034.0029,29.4157,121.5482,5.9443,-59.3823,2.9409,58.2748,5.9414,29.512,4.0183,114.9412,5.1762,53.785,5.8752,60.4132,6.0147,71.5256,6.6844,11.1293,4.7655,5.9888,7.41,-22.3662,6.7956,-174.468,7.6606,28.8328,6.5924,-41.7039,4.3232,-9.7342,3.6459,-13.2906,4.7141,-25.8173,3.3513,43.386,3.109,103.776,4.0467,-315.7407,6.5911,-421.1343,7.0912,-293.9285,7.8574,-176.8503,7.7865,-85.6641,6.1012,-97.0353,7.5461
2016_168,2016-06-16,-745.7134,28.174,123.5281,5.6933,-30.3241,2.8168,74.9774,5.6906,26.0224,3.8487,110.1939,4.9577,59.5713,5.6272,78.9867,5.7608,63.8411,6.4022,27.3163,4.5643,12.3895,7.0972,-5.7895,6.5087,-159.7289,7.3372,43.9212,6.3141,-36.422,4.1407,1.4727,3.492,2.7108,4.5151,-9.2601,3.2098,58.8438,2.9778,105.7249,3.8759,-300.6782,6.3129,-395.6766,6.7918,-288.4755,7.5257,-149.7884,7.4578,-45.8969,5.8437,-113.1732,7.2275
2016_197,2016-07-15,-650.1873,29.2739,125.2997,5.9156,-16.7766,2.9268,87.3197,5.9128,18.3189,3.9989,110.1987,5.1512,64.3287,5.8468,86.8694,5.9857,72.6695,6.6522,38.4447,4.7425,13.0041,7.3742,6.5985,6.7628,-151.8114,7.6236,56.0686,6.5606,-30.6975,4.3024,7.846,3.6283,4.5267,4.6914,0.1037,3.3352,58.3561,3.094,107.5224,4.0272,-306.8254,6.5593,-401.1873,7.057,-296.0823,7.8195,-161.3314,7.749,-23.7291,6.0718,-119.2216,7.5097
2016_234,2016-08-21,-748.8499,38.7704,132.9551,7.8347,-30.4112,3.8762,60.1277,7.8309,28.8945,5.2962,121.859,6.8223,75.814,7.7436,83.2788,7.9274,89.222,8.8101,32.4138,6.281,16.8467,9.7665,8.0496,8.9567,-143.0062,10.0968,43.8418,8.6889,-32.7593,5.6981,5.6252,4.8054,-13.0218,6.2133,5.452,4.4171,42.8632,4.0978,104.2898,5.3336,-326.165,8.6872,-428.8596,9.3463,-320.532,10.3562,-153.434,10.2628,-44.8014,8.0415,-107.3926,9.9459
2016_332,2016-11-27,-808.3336,48.7599,127.818,9.8533,-28.7079,4.875,52.7006,9.8486,-3.45,6.6608,106.6966,8.5801,103.1717,9.7388,80.5465,9.97,64.9381,11.0801,1.6755,7.8994,10.1102,12.2829,-24.5105,11.2645,-169.1896,12.6983,85.3642,10.9277,-50.224,7.1662,9.0582,6.0435,-17.5363,7.8142,-5.8266,5.5552,45.7488,5.1536,135.4334,6.7079,-377.8279,10.9255,-420.95,11.7544,-304.8906,13.0245,-123.9429,12.907,-11.8225,10.1135,-92.7165,12.5085
2016_354,2016-12-19,-791.869,46.6823,129.162,9.4335,-30.9094,4.6672,60.4158,9.4289,-0.9108,6.377,124.2506,8.2145,57.8129,9.3238,90.4614,9.5452,77.1158,10.608,18.5802,7.5628,22.9331,11.7595,-34.2434,10.7845,-186.5125,12.1572,50.0254,10.462,-29.6109,6.8609,16.2315,5.786,-1.7745,7.4813,0.6747,5.3185,58.913,4.934,123.9484,6.422,-333.6413,10.46,-433.0042,11.2536,-317.3765,12.4696,-151.2354,12.3571,-1.2236,9.6825,-101.9514,11.9755
